ip,seq,latency_ms,recv,lost
10.45.0.5,99,0.87,100,0
10.45.0.2,98,1.16,99,0
10.45.0.5,100,1.19,101,0
10.45.0.2,99,1.03,100,0
10.45.0.3,95,1.03,96,0
10.45.0.6,92,0.91,93,0
10.45.0.6,93,0.93,94,0
10.45.0.4,83,0.86,84,0
10.45.0.3,96,0.57,97,0
10.45.0.2,100,0.74,101,0
10.45.0.4,84,0.70,85,0
10.45.0.5,101,1.23,102,0
10.45.0.3,97,0.85,98,0
10.45.0.3,98,1.05,99,0
10.45.0.4,85,0.86,86,0
10.45.0.4,86,0.98,87,0
10.45.0.4,87,1.00,88,0
10.45.0.5,102,1.08,103,0
10.45.0.6,94,1.12,95,0
10.45.0.2,101,0.89,102,0
10.45.0.2,102,0.90,103,0
10.45.0.4,88,1.00,89,0
10.45.0.3,99,0.76,100,0
10.45.0.3,100,1.17,101,0
10.45.0.2,103,0.69,104,0
10.45.0.2,104,1.13,105,0
10.45.0.2,105,1.20,106,0
10.45.0.6,95,1.03,96,0
10.45.0.3,101,1.05,102,0
10.45.0.2,106,0.83,107,0
10.45.0.6,96,4.31,97,0
10.45.0.2,107,0.91,108,0
10.45.0.5,103,0.77,104,0
10.45.0.4,89,0.90,90,0
10.45.0.4,90,1.20,91,0
10.45.0.4,91,0.93,92,0
10.45.0.4,92,1.20,93,0
10.45.0.3,102,1.13,103,0
10.45.0.6,97,1.16,98,0
10.45.0.4,93,1.08,94,0
10.45.0.3,103,1.00,104,0
10.45.0.4,94,1.58,95,0
10.45.0.4,95,1.79,96,0
10.45.0.4,96,1.20,97,0
10.45.0.2,108,1.28,109,0
10.45.0.5,104,0.65,105,0
10.45.0.3,104,0.83,105,0
10.45.0.4,97,1.23,98,0
10.45.0.4,98,1.01,99,0
10.45.0.4,99,1.19,100,0
10.45.0.6,98,0.89,99,0
10.45.0.3,105,0.91,106,0
10.45.0.4,100,0.84,101,0
10.45.0.4,101,0.87,102,0
10.45.0.2,109,0.71,110,0
10.45.0.5,105,0.70,106,0
10.45.0.4,102,0.45,103,0
10.45.0.2,110,0.49,111,0
10.45.0.3,106,1.07,107,0
10.45.0.4,103,0.54,104,0
10.45.0.4,104,0.99,105,0
10.45.0.3,107,0.68,108,0
10.45.0.6,99,0.94,100,0
10.45.0.5,106,0.92,107,0
10.45.0.6,100,1.60,101,0
10.45.0.2,111,5.98,112,0
10.45.0.4,105,21.98,106,0
10.45.0.3,108,8.98,109,0
10.45.0.5,107,1.32,108,0
10.45.0.2,112,2.92,113,0
10.45.0.5,108,0.24,109,0
10.45.0.6,101,3.43,102,0
10.45.0.3,109,0.76,110,0
10.45.0.6,102,1.04,103,0
10.45.0.6,103,1.59,104,0
10.45.0.6,104,0.29,105,0
10.45.0.2,113,0.26,114,0
10.45.0.6,105,0.30,106,0
10.45.0.4,106,0.75,107,0
10.45.0.4,107,1.73,108,0
10.45.0.6,106,1.09,107,0
10.45.0.5,109,0.88,110,0
10.45.0.5,110,1.00,111,0
10.45.0.3,110,1.13,111,0
10.45.0.2,114,0.97,115,0
10.45.0.3,111,1.18,112,0
10.45.0.6,107,0.87,108,0
10.45.0.6,108,1.24,109,0
10.45.0.3,112,0.70,113,0
10.45.0.5,111,1.39,112,0
10.45.0.3,113,1.31,114,0
10.45.0.4,108,1.30,109,0
10.45.0.4,109,1.35,110,0
10.45.0.2,115,0.90,116,0
10.45.0.2,116,1.00,117,0
10.45.0.5,112,1.20,113,0
10.45.0.2,117,1.06,118,0
10.45.0.6,109,1.13,110,0
10.45.0.6,110,1.30,111,0
10.45.0.2,118,1.10,119,0
10.45.0.3,114,1.00,115,0
10.45.0.3,115,1.24,116,0
10.45.0.6,111,0.85,112,0
10.45.0.3,116,1.24,117,0
10.45.0.6,112,1.11,113,0
10.45.0.6,113,0.72,114,0
10.45.0.4,110,1.24,111,0
10.45.0.4,111,1.40,112,0
10.45.0.4,112,1.17,113,0
10.45.0.5,113,0.72,114,0
10.45.0.5,114,0.82,115,0
10.45.0.6,114,0.98,115,0
10.45.0.2,119,0.84,120,0
10.45.0.5,115,0.78,116,0
10.45.0.4,113,1.23,114,0
10.45.0.4,114,1.09,115,0
10.45.0.3,117,0.99,118,0
10.45.0.6,115,0.69,116,0
10.45.0.2,120,0.61,121,0
10.45.0.5,116,0.72,117,0
10.45.0.4,115,1.72,116,0
10.45.0.6,116,1.04,117,0
10.45.0.4,116,0.89,117,0
10.45.0.4,117,1.38,118,0
10.45.0.3,118,1.05,119,0
10.45.0.5,117,0.64,118,0
10.45.0.5,118,1.04,119,0
10.45.0.4,118,1.17,119,0
10.45.0.5,119,1.09,120,0
10.45.0.2,121,1.33,122,0
10.45.0.3,119,1.49,120,0
10.45.0.2,122,1.27,123,0
10.45.0.5,120,0.53,121,0
10.45.0.6,117,1.11,118,0
10.45.0.4,119,0.82,120,0
10.45.0.3,120,0.55,121,0
10.45.0.5,121,1.19,122,0
10.45.0.6,118,1.43,119,0
10.45.0.6,119,1.06,120,0
10.45.0.6,120,1.07,121,0
10.45.0.5,122,0.47,123,0
10.45.0.6,121,0.44,122,0
10.45.0.4,120,0.52,121,0
10.45.0.5,123,0.90,124,0
10.45.0.5,124,0.73,125,0
10.45.0.5,125,0.79,126,0
10.45.0.6,122,0.71,123,0
10.45.0.2,123,1.02,124,0
10.45.0.4,121,0.89,122,0
10.45.0.3,121,0.43,122,0
10.45.0.2,124,0.44,125,0
10.45.0.4,122,0.95,123,0
10.45.0.2,125,0.96,126,0
10.45.0.4,123,1.01,124,0
10.45.0.2,126,0.92,127,0
10.45.0.3,122,0.85,123,0
10.45.0.2,127,0.92,128,0
10.45.0.2,128,1.03,129,0
10.45.0.5,126,0.96,127,0
10.45.0.6,123,0.91,124,0
10.45.0.2,129,1.35,130,0
10.45.0.6,124,1.27,125,0
10.45.0.6,125,1.00,126,0
10.45.0.2,130,0.98,131,0
10.45.0.4,124,1.13,125,0
10.45.0.2,131,0.79,132,0
10.45.0.5,127,1.22,128,0
10.45.0.2,132,0.66,133,0
10.45.0.3,123,1.16,124,0
10.45.0.2,133,1.16,134,0
10.45.0.5,128,1.34,129,0
10.45.0.3,124,0.72,125,0
10.45.0.2,134,1.09,135,0
10.45.0.3,125,0.91,126,0
10.45.0.3,126,0.92,127,0
10.45.0.5,129,0.63,130,0
10.45.0.6,126,1.46,127,0
10.45.0.4,125,1.15,126,0
10.45.0.6,127,1.26,128,0
10.45.0.2,135,1.09,136,0
10.45.0.6,128,0.80,129,0
10.45.0.3,127,0.45,128,0
10.45.0.5,130,0.69,131,0
10.45.0.4,126,1.41,127,0
10.45.0.6,129,0.87,130,0
10.45.0.2,136,1.21,137,0
10.45.0.2,137,0.87,138,0
10.45.0.4,127,0.94,128,0
10.45.0.6,130,0.71,131,0
10.45.0.2,138,0.66,139,0
10.45.0.6,131,0.64,132,0
10.45.0.5,131,0.99,132,0
10.45.0.2,139,0.86,140,0
10.45.0.5,132,0.63,133,0
10.45.0.6,132,0.94,133,0
10.45.0.3,128,0.80,129,0
10.45.0.2,140,1.29,141,0
10.45.0.5,133,0.92,134,0
10.45.0.4,128,0.92,129,0
10.45.0.6,133,1.40,134,0
10.45.0.3,129,0.80,130,0
10.45.0.6,134,1.07,135,0
10.45.0.4,129,0.85,130,0
10.45.0.4,130,0.74,131,0
10.45.0.2,141,0.88,142,0
10.45.0.5,134,0.71,135,0
10.45.0.5,135,0.63,136,0
10.45.0.5,136,0.82,137,0
10.45.0.4,131,0.46,132,0
