timestamp,segment,ue,iface,rate_mbps,bytes,status,duration_ms
1774113416,55,4,uesimtun3,22,11000000,ok,7188
1774113416,55,1,uesimtun0,34,17000000,ok,7192
1774113416,55,2,uesimtun1,25,12500000,ok,7194
1774113425,56,2,uesimtun1,19,9500000,ok,7097
1774113425,56,3,uesimtun2,29,14500000,ok,7172
1774113425,56,5,uesimtun4,22,11000000,ok,7271
1774113425,56,1,uesimtun0,26,13000000,ok,7277
1774113425,56,4,uesimtun3,17,8500000,ok,7278
1774113433,57,1,uesimtun0,38,19000000,ok,6805
1774113433,57,3,uesimtun2,42,21000000,ok,6889
1774113433,57,4,uesimtun3,25,12500000,ok,6949
1774113433,57,2,uesimtun1,28,14000000,ok,6951
1774113433,57,5,uesimtun4,34,17000000,ok,6972
1774113441,58,1,uesimtun0,29,14500000,ok,7383
1774113441,58,5,uesimtun4,25,12500000,ok,7441
1774113441,58,4,uesimtun3,19,9500000,ok,7483
1774113441,58,3,uesimtun2,32,16000000,ok,7494
1774113441,58,2,uesimtun1,20,9245095,ok,7499
1774113450,59,1,uesimtun0,35,17500000,ok,7121
1774113450,59,4,uesimtun3,23,11500000,ok,7227
1774113450,59,2,uesimtun1,24,12000000,ok,7292
1774113450,59,3,uesimtun2,38,19000000,ok,7292
1774113450,59,5,uesimtun4,31,15500000,ok,7300
1774113458,60,1,uesimtun0,27,13500000,ok,6942
1774113458,60,2,uesimtun1,18,9000000,ok,7062
1774113458,60,5,uesimtun4,21,10500000,ok,7111
1774113458,60,3,uesimtun2,30,15000000,ok,7103
1774113458,60,4,uesimtun3,16,8000000,ok,7154
1774113466,61,4,uesimtun3,16,8000000,ok,7654
1774113466,61,2,uesimtun1,18,9000000,ok,7667
1774113466,61,5,uesimtun4,20,10000000,ok,7667
1774113466,61,1,uesimtun0,24,12000000,ok,7702
1774113466,61,3,uesimtun2,26,13000000,ok,7725
1774113475,62,4,uesimtun3,20,10000000,ok,7368
1774113475,62,5,uesimtun4,26,13000000,ok,7572
1774113475,62,3,uesimtun2,33,16500000,ok,7722
1774113475,62,2,uesimtun1,22,11000000,ok,7721
1774113475,62,1,uesimtun0,30,15000000,ok,7731
1774113484,63,3,uesimtun2,40,20000000,ok,7328
1774113484,63,4,uesimtun3,24,12000000,ok,7432
1774113484,63,2,uesimtun1,27,13500000,ok,7500
1774113484,63,5,uesimtun4,32,16000000,ok,7518
1774113484,63,1,uesimtun0,36,18000000,ok,7518
1774113492,64,2,uesimtun1,21,10500000,ok,7526
1774113492,64,5,uesimtun4,24,12000000,ok,7564
1774113492,64,3,uesimtun2,31,15500000,ok,7627
1774113492,64,1,uesimtun0,28,14000000,ok,7632
1774113492,64,4,uesimtun3,18,9000000,ok,7641
1774113501,65,3,uesimtun2,37,18500000,ok,7535
1774113501,65,5,uesimtun4,30,15000000,ok,7719
1774113501,65,1,uesimtun0,34,17000000,ok,7732
1774113501,65,4,uesimtun3,22,11000000,ok,7761
1774113501,65,2,uesimtun1,25,12500000,ok,7780
1774113510,66,2,uesimtun1,19,9500000,ok,7373
1774113510,66,5,uesimtun4,22,11000000,ok,7415
1774113510,66,1,uesimtun0,26,13000000,ok,7443
1774113510,66,4,uesimtun3,17,8500000,ok,7474
1774113510,66,3,uesimtun2,29,14500000,ok,7501
1774113518,67,5,uesimtun4,34,17000000,ok,7361
1774113518,67,3,uesimtun2,42,21000000,ok,7405
1774113518,67,4,uesimtun3,25,12500000,ok,7446
1774113518,67,1,uesimtun0,38,19000000,ok,7453
1774113518,67,2,uesimtun1,28,14000000,ok,7454
1774113527,68,2,uesimtun1,20,10000000,ok,7311
1774113527,68,3,uesimtun2,32,16000000,ok,7319
1774113527,68,4,uesimtun3,19,9500000,ok,7363
1774113527,68,1,uesimtun0,29,14500000,ok,7368
1774113527,68,5,uesimtun4,25,12500000,ok,7368
1774113535,69,3,uesimtun2,38,19000000,ok,7100
1774113535,69,1,uesimtun0,35,17500000,ok,7344
1774113535,69,5,uesimtun4,31,15500000,ok,7363
1774113535,69,2,uesimtun1,24,12000000,ok,7373
1774113535,69,4,uesimtun3,23,11500000,ok,7410
1774113543,70,4,uesimtun3,16,8000000,ok,7127
1774113543,70,2,uesimtun1,18,9000000,ok,7297
1774113543,70,1,uesimtun0,27,13500000,ok,7375
1774113543,70,3,uesimtun2,30,15000000,ok,7379
1774113543,70,5,uesimtun4,21,10500000,ok,7392
1774113552,71,5,uesimtun4,20,10000000,ok,7201
1774113552,71,3,uesimtun2,26,13000000,ok,7313
1774113552,71,4,uesimtun3,16,8000000,ok,7372
1774113552,71,2,uesimtun1,18,9000000,ok,7371
1774113552,71,1,uesimtun0,24,12000000,ok,7377
1774113560,72,2,uesimtun1,22,11000000,ok,6895
1774113560,72,5,uesimtun4,26,13000000,ok,7052
1774113560,72,3,uesimtun2,33,16500000,ok,7165
1774113560,72,4,uesimtun3,20,10000000,ok,7192
1774113560,72,1,uesimtun0,30,15000000,ok,7201
1774113568,73,2,uesimtun1,27,13500000,ok,6800
1774113568,73,5,uesimtun4,32,16000000,ok,6962
1774113568,73,3,uesimtun2,40,20000000,ok,7060
1774113568,73,1,uesimtun0,36,18000000,ok,7059
1774113568,73,4,uesimtun3,24,12000000,ok,7071
1774113576,74,4,uesimtun3,18,9000000,ok,7005
1774113576,74,2,uesimtun1,21,10500000,ok,7060
1774113576,74,1,uesimtun0,28,14000000,ok,7136
1774113576,74,5,uesimtun4,24,10306368,ok,7150
1774113576,74,3,uesimtun2,31,15500000,ok,7153
1774113585,75,5,uesimtun4,30,15000000,ok,7457
1774113585,75,3,uesimtun2,37,18500000,ok,7553
1774113585,75,4,uesimtun3,22,11000000,ok,7563
1774113585,75,1,uesimtun0,34,17000000,ok,7584
1774113585,75,2,uesimtun1,25,12500000,ok,7593
1774113593,76,5,uesimtun4,22,11000000,ok,7516
1774113593,76,4,uesimtun3,17,8500000,ok,7541
1774113593,76,2,uesimtun1,19,9500000,ok,7554
1774113593,76,1,uesimtun0,26,13000000,ok,7558
1774113593,76,3,uesimtun2,29,14500000,ok,7568
1774113602,77,4,uesimtun3,25,12500000,ok,7264
1774113602,77,5,uesimtun4,34,17000000,ok,7306
1774113602,77,3,uesimtun2,42,16306368,ok,7304
1774113602,77,1,uesimtun0,38,19000000,ok,7306
1774113602,77,2,uesimtun1,28,14000000,ok,7309
1774113610,78,5,uesimtun4,25,12500000,ok,6965
1774113610,78,4,uesimtun3,19,9500000,ok,6995
1774113610,78,3,uesimtun2,32,16000000,ok,7034
1774113610,78,2,uesimtun1,20,10000000,ok,7047
1774113610,78,1,uesimtun0,29,14500000,ok,7063
1774113618,79,2,uesimtun1,24,12000000,ok,6811
1774113618,79,3,uesimtun2,38,19000000,ok,6911
1774113618,79,4,uesimtun3,23,11500000,ok,6956
1774113618,79,5,uesimtun4,31,15500000,ok,6958
1774113618,79,1,uesimtun0,35,17500000,ok,6975
1774113626,80,1,uesimtun0,27,13500000,ok,6894
1774113626,80,5,uesimtun4,21,10500000,ok,6895
1774113626,80,3,uesimtun2,30,15000000,ok,6907
1774113626,80,2,uesimtun1,18,9000000,ok,6927
1774113626,80,4,uesimtun3,16,8000000,ok,6945
1774113634,81,4,uesimtun3,16,8000000,ok,6340
1774113634,81,2,uesimtun1,18,9000000,ok,6606
1774113634,81,3,uesimtun2,26,13000000,ok,6658
1774113634,81,5,uesimtun4,20,10000000,ok,6683
1774113634,81,1,uesimtun0,24,12000000,ok,6686
1774113642,82,1,uesimtun0,30,15000000,ok,6441
1774113642,82,2,uesimtun1,22,11000000,ok,6557
1774113642,82,4,uesimtun3,20,10000000,ok,6685
1774113642,82,5,uesimtun4,26,13000000,ok,6684
1774113642,82,3,uesimtun2,33,16500000,ok,6696
1774113650,83,1,uesimtun0,36,18000000,ok,10337
1774113650,83,4,uesimtun3,24,12000000,ok,10383
1774113650,83,2,uesimtun1,27,13500000,ok,10426
1774113650,83,5,uesimtun4,32,16000000,ok,10439
1774113650,83,3,uesimtun2,40,20000000,ok,10446
1774113661,84,1,uesimtun0,28,14000000,ok,6839
1774113661,84,3,uesimtun2,31,15500000,ok,7043
1774113661,84,2,uesimtun1,21,10500000,ok,7048
1774113661,84,4,uesimtun3,18,9000000,ok,7069
1774113661,84,5,uesimtun4,24,12000000,ok,7072
1774113669,85,3,uesimtun2,37,18500000,ok,6231
1774113669,85,5,uesimtun4,30,15000000,ok,6781
1774113669,85,2,uesimtun1,25,12500000,ok,6825
1774113669,85,4,uesimtun3,22,11000000,ok,6828
1774113669,85,1,uesimtun0,34,17000000,ok,6831
1774113677,86,2,uesimtun1,19,9500000,ok,6325
1774113677,86,3,uesimtun2,29,14500000,ok,6354
1774113677,86,5,uesimtun4,22,11000000,ok,6392
1774113677,86,4,uesimtun3,17,8500000,ok,6405
1774113677,86,1,uesimtun0,26,13000000,ok,6414
1774113684,87,5,uesimtun4,34,17000000,ok,6892
1774113684,87,3,uesimtun2,42,21000000,ok,6937
1774113684,87,4,uesimtun3,25,12500000,ok,6991
1774113684,87,2,uesimtun1,28,14000000,ok,6994
1774113684,87,1,uesimtun0,38,19000000,ok,7000
1774113692,88,2,uesimtun1,20,10000000,ok,5774
1774113692,88,1,uesimtun0,29,14500000,ok,5979
1774113692,88,5,uesimtun4,25,12500000,ok,6058
1774113692,88,4,uesimtun3,19,9500000,ok,6061
1774113692,88,3,uesimtun2,32,16000000,ok,6070
1774113700,89,3,uesimtun2,38,19000000,ok,6385
1774113700,89,5,uesimtun4,31,15500000,ok,6460
1774113700,89,2,uesimtun1,24,12000000,ok,6474
1774113700,89,4,uesimtun3,23,11500000,ok,6542
1774113700,89,1,uesimtun0,35,17500000,ok,6575
1774113707,90,5,uesimtun4,21,10500000,ok,5960
1774113707,90,1,uesimtun0,27,13500000,ok,6124
1774113707,90,3,uesimtun2,30,15000000,ok,6126
1774113707,90,2,uesimtun1,18,9000000,ok,6170
1774113707,90,4,uesimtun3,16,8000000,ok,6173
